date,source_id,total_aircraft,median_crossings,sw_adiz,n_adiz,e_adiz,se_adiz,plan_vessels,official_ships
2026-04-01,86412,11,,11,,,,7,1
2026-04-02,86430,25,,16,,,,9,2
2026-04-03,86433,2,,,,2,,7,2
2026-04-04,86435,2,,,,2,,7,1
2026-04-05,86437,,,,,,,6,1
2026-04-06,86439,3,,,,3,,6,2
2026-04-07,86442,,,,,,,8,1
2026-04-08,86444,2,,,,,2,9,1
2026-04-09,86456,6,,5,,,,8,1
2026-04-10,86461,7,,7,,,,7,1
2026-04-11,86465,17,,15,,,,7,1
2026-04-12,86467,2,,,,,,8,4
2026-04-13,86471,,,,,,,7,3
2026-04-14,86472,9,,,,,,6,3
2026-04-15,86474,5,,4,,,,6,3
2026-04-16,86477,3,,,,3,,6,3
2026-04-17,86491,5,,3,,,,5,1
